code,GVA per hour worked,Export Intensity,New Businesses,Low Skilled,High Skilled,Active,Inactive due to Illness,Working Age,5G connectivity,Gigabit connectivity,GFCF per job,ICT per job,Intangibles per job
TLG21,34.96,0.440625,0.10420032310177706,0.135,0.35600000000000004,0.775,0.374,0.5778599900997837,0.6522,0.8129999999999998,8750.902222402205,230.31555749602612,2032.7661994223731
TLG22,32.36,0.13801156583629892,0.08593463092177746,0.107,0.43,0.82,0.184,0.5542732187329162,0.6014999999999999,0.6950000000000001,7415.472190160541,361.17567543558187,1078.2116614856927
TLG23,33.01,0.313541933829187,0.11764705882352941,0.101,0.366,0.7809999999999999,0.4749999999999999,0.6000220400749362,0.9963,0.951,7812.000667896938,339.65911185846045,1162.706770277593
TLG24,33.66,0.25584284494137743,0.09798010250226108,,0.3873863679513955,0.8359398139358268,,0.586185520427458,0.7853183760765222,0.827797909858532,8378.22806321959,303.83311488742504,1714.1151830902745
TLG31,35.14,0.25003855842887257,0.14207586688387247,0.13,0.444,0.7170000000000001,0.30200000000000005,0.6412251972258456,0.9928,0.945,7432.201414677237,260.98363502458614,1522.7524222746438
TLG32,41.8,0.7403995178233167,0.1205085682697623,0.079,0.45399999999999996,0.8039999999999999,0.18699999999999994,0.5772579561503339,0.9852000000000001,0.9369999999999999,8641.190122698708,445.50788570176474,3009.915018764552
TLG33,40.39,0.37969574666252714,0.13486005089058525,0.104,0.49,0.7759999999999999,0.29599999999999993,0.6994693680656054,0.9934,0.973,14497.99760917115,640.5357291311315,4792.493829425542
TLG36,31.91,0.11179862185346646,0.1034327009936766,0.055,0.4,0.8230000000000001,0.2810000000000001,0.591404432472144,0.9994000000000001,0.955,10435.030375276563,1041.5248799868625,1773.443170080575
TLG37,32.84,0.10903426791277258,0.1343218491059747,0.17099999999999999,0.312,0.743,0.35200000000000004,0.6019260482634203,1.0,0.941,10101.113816581648,331.1760520149113,1019.5793695758969
TLG38,31.2,0.3079710144927536,0.13724463069669984,0.135,0.319,0.79,0.38899999999999996,0.6036656322730799,0.9823,0.925,5970.048722781054,237.54691543764355,1002.3897786959062
TLG39,35.29,0.23439226519337017,0.12603005332040718,0.159,0.40800000000000003,0.766,0.328,0.5950261539873359,0.9996,0.976,8066.586424221967,337.3735848386194,1100.5947119932846
TLH21,34.12,0.4033185262607787,0.14068441064638784,0.128,0.419,0.746,0.25100000000000006,0.621569679865644,0.9972999999999999,0.978,25863.393255566236,486.91066255094586,15149.935558511039
TLH24,33.6,0.13955874807593638,0.11174968071519796,0.059000000000000004,0.53,0.867,0.13000000000000003,0.5497890895303095,0.7594000000000002,0.8330000000000001,12525.55609054365,728.8731223284898,4009.1464138909164
TLH25,38.98,0.20607909869733598,0.11072664359861592,0.032,0.44299999999999995,0.8559999999999999,0.25899999999999984,0.599087907311662,0.9041999999999999,0.8109999999999999,16211.72252938441,322.51306731808154,1820.8867458050308
TLH26,42.5,0.5516628278175132,0.10380444138405921,,0.4466988817891373,0.8110849307774228,0.30309615891426434,0.6250374423387982,0.7910743553875237,0.86156975284804,,,
TLH27,44.63,0.15235057085292142,0.10436634717784878,,0.5657649854766306,0.7971906522313176,,0.6163105020155811,0.8912449452221026,0.8995894536166431,,,
TLH31,31.29,0.07351837959489872,0.10906785034876347,0.083,0.418,0.79,0.19999999999999998,0.6210532668389376,0.9959000000000001,0.9790000000000002,6508.493260053182,137.07961136325295,1878.9114564151455
TLH32,40.17,0.14016454749439042,0.13379835129993659,0.108,0.36299999999999993,0.806,0.258,0.6273814400592589,0.9895,0.905,18770.80909573755,318.515384167196,1969.9166459961602
TLH34,39.02,0.32069204152249137,0.10594512195121951,,0.38143949694085655,0.7444887831407206,0.26831620270475204,0.5766795645304825,0.7920871177725508,0.8253335280063709,15415.176058838428,408.4244206655921,6670.3107030039155
TLH35,38.62,0.3105200745383703,0.10746910263299302,,0.47330476190476195,0.7995275132275133,0.2464349037855015,0.5804507860654957,0.7896030261062253,0.8597549596060997,8339.105092613336,228.40653849523008,788.2795668408974
TLH36,42.38,0.2069045233875318,0.10555718906204058,,0.5089606060606061,0.8332686868686869,,0.5968223730019261,0.8651293067004863,0.8282945780708473,6914.62158013241,323.25463421481027,1168.6131592282954
TLH37,40.89,0.32640454128057433,0.10904007455731593,,0.24107754010695187,0.829319964349376,,0.608806533004151,0.8869785276643148,0.8195715549244589,6137.106945110182,226.0629495209902,574.8243146780331
TLH41,38.34,,0.12754260582737767,0.12,0.369,0.828,0.397,0.5808417878082448,0.9039,0.9440000000000001,9705.829399429393,416.8406698556253,2174.8070276619624
TLH42,40.99,0.4486776917172563,0.09491059147180192,,0.4608987813976623,0.8285100721213629,,0.5747791867324782,0.8541663809963735,0.8691700046766665,20813.432209559785,497.4380441626844,11491.737274424831
TLH51,37.2,0.2483596779003877,0.10356472795497186,,0.45448465984882164,0.8067403290351268,0.2835292781859053,0.589946513964341,0.7655392894884474,0.7964672256272526,8332.808709734021,410.0368754579294,1471.2142379719432
TLH52,33.63,0.17200754005655042,0.08790623335109217,,0.3142044797687861,0.7823952312138728,0.27195932462271516,0.5343918204072807,0.5678961419250274,0.5656429532660235,7689.9445767276,299.6117294180685,729.8096262743478
TLH53,40.29,0.09276531383917318,0.09117082533589252,,0.38594545454545454,0.7848254545454546,,0.5655798393067705,0.5198058837618115,0.6210016810465592,9995.5446495229,280.4221082631044,1828.3381597353778
